time,lat,lon,depth,RMS,Nphs,Gap,Dist,errH,errZ,Mamp,Mdur,expect_lat,expect_lon,expect_z,EllipsoidAz1,EllipsoidDip1,EllipsoidLen1,EllipsoidAz2,EllipsoidDip2,EllipsoidLen2,EllipsoidLen3,minHorUnc,maxHorUnc,azMaxHorUnc,pdfVolume,mech_strike,mech_dip,mech_rake,mech_misfit,mech_Nobs,publicId,x,y,disloc,along_stk_disloc
1990-06-02 04:01:46.355010,40.3588,-125.0276,14.0938,0.163123,14,291.0,59.9142,17.7719,15.01476,3.01,-9.9,40.3554,-125.0175,23.8773,192.02,1.21778,5.33006,290.827,82.0961,18.5335,22.07726,4.31321,17.7719,101.968,4045.939,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/158676,18.891801176751585,-4.5511707484816615,46,32.24508566905243
1990-06-12 02:37:14.271637,40.311,-124.4987,14.2219,0.0191113,4,280.0,22.8615,38.7817,16.123055,1.62,-9.9,40.3204,-124.8291,16.6042,357.44,-9.94304,14.9912,211.846,-78.0045,19.4251,48.31755,12.2242,38.7817,88.5265,897.715,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1177510,63.86365873311183,-9.611477167771938,55,77.49952873790768
1990-06-15 03:22:04.731005,40.3172,-124.3152,11.1949,0.0704125,11,207.0,17.7351,0.903642,1.3394587,2.42,-9.9,40.3165,-124.3164,11.1045,343.677,-19.816,0.695435,254.04,1.00884,1.11909,1.74614,0.712023,0.903642,72.3021,2.017138,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092246,79.45413545209533,-8.77438152373889,58,92.91709887288725
1990-06-15 20:05:57.444266,40.3172,-124.3152,11.1949,0.0989799,15,207.0,17.7351,0.848929,1.3198195,2.99,-9.9,40.3167,-124.3162,11.1467,347.464,-20.4658,0.674744,257.029,-1.16556,1.051,1.727227,0.705375,0.848929,79.852,2.021961,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/159445,79.45413545209533,-8.77438152373889,58,92.91709887288725
1990-06-15 20:07:10.843437,40.323,-124.3021,2.3703,0.0221066,4,205.0,17.2476,52.1435,18.03475,1.61,-9.9,40.2815,-124.6393,18.4121,161.918,27.4056,20.0068,168.7,-62.4296,22.6898,64.6659,16.6328,52.1435,73.3267,68.63838,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1177619,80.56064081105738,-8.118514778766249,18,93.94898593675701
1990-06-17 03:10:53.139592,40.3357,-124.6949,19.6992,0.213719,30,234.0,47.1222,1.81115,2.0506427,3.0,-9.9,40.3333,-124.6961,19.5611,178.222,15.8618,1.37757,278.54,32.2259,1.83021,2.891762,1.17563,1.81115,75.3622,9.862324,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/159492,47.1688873041561,-6.9919545616083525,72,60.622398341125376
1990-06-17 10:35:38.915109,40.3117,-124.5124,19.9234,0.0280069,8,249.0,23.5151,11.6646,8.671243,2.13,-9.9,40.2994,-124.5592,18.1218,153.078,-12.7043,3.47398,225.644,53.0406,6.25207,16.94006,3.00881,11.6646,70.6964,178.3519,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092531,62.69848060729451,-9.543551221315937,75,76.33363338497914
1990-06-17 12:46:51.520897,40.3357,-124.6968,19.5711,0.141146,20,238.0,34.2021,1.60933,1.7238196,2.69,-9.9,40.3317,-124.6985,19.1551,190.549,32.7449,1.25947,295.543,21.9146,1.57897,2.568929,1.18167,1.60933,63.2302,9.399006,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/20092528,47.00743942886439,-6.992966166890908,72,60.461940635732695
1990-06-19 02:09:43.829635,40.3297,-124.3108,2.9148,0.045687,5,208.0,16.3931,26.5503,11.517247,2.02,-9.9,40.3491,-124.3751,6.6396,143.469,64.1021,11.266,351.268,23.2433,19.9257,33.38397,15.165,26.5503,75.1117,12.4346,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1177715,79.81337225393297,-7.382451060017685,18,93.12887138558867
1990-06-19 04:18:12.006659,40.3457,-124.3918,11.2109,0.0174524,4,244.0,15.1749,44.4845,16.658596,1.8,-9.9,40.3721,-124.66,16.3942,0.130139,-32.1788,17.3157,192.197,-57.2414,21.0314,55.3309,14.8971,44.4845,93.4688,175.4696,-999.0,-99.0,-99.0,-1.0,-1, quakeml:NC/Event/NC/1177717,72.91297202933772,-5.67578220023726,57,86.08787680220493
