id,lon,lat,E,N,Up,Se,Sn,Su,x,y
P666,-121.5145,40.4653,-0.00049,0.00082,-0.00571,0.00024,0.00029,0.00092,316367.2849874803,7269.189470000064
P667,-121.4674,40.4658,0.00198,-0.00554,0.00807,0.00027,0.00033,0.00104,320353.897425304,7324.84942000033
P668,-121.4631,40.509,0.00092,-0.00204,-0.00365,0.00026,0.00031,0.001,320511.6988986203,12133.869100000196
P669,-121.6038,40.4921,0.00553,-0.00172,0.00605,0.00031,0.00037,0.00118,308681.0335117649,10252.56279000023
P670,-121.5772,40.5399,0.00261,-0.00119,-0.00275,0.00029,0.00035,0.00111,310711.34795840003,15573.654010000484
P671,-121.4282,40.4091,0.00073,-0.00217,0.011,0.00029,0.00035,0.00112,323946.8824309752,1013.0110900004074
P672,-121.5069,41.7116,0.0028,0.00044,-0.01078,0.00024,0.00029,0.0009,311054.2053609044,146007.18083999984
P673,-121.613,41.5858,0.00718,-0.00325,-0.0022,0.00031,0.00037,0.00119,302827.9793184111,132003.13742000004
P674,-121.49,41.6163,0.00087,0.00071,0.00137,0.00024,0.00029,0.00093,312921.40994558786,135398.39437000043
P784,-122.4205,41.8308,0.00035,-0.00012,0.00215,0.00024,0.0003,0.00093,234696.88291442324,159276.51292000053
P786,-123.9808,41.8455,0.00564,-0.00198,-0.01041,0.00027,0.00032,0.00102,105251.41145903771,160912.9154500003
P793,-123.5731,40.4788,0.00639,0.00476,0.00788,0.00026,0.00032,0.00101,141991.6092299388,8772.00812000012
P794,-122.9638,39.8457,0.00182,0.00215,-0.00338,0.00024,0.00028,0.0009,195397.81532895795,-61704.62056999975
PLMO,-121.6046,39.4333,0.01332,0.00301,0.01149,0.00036,0.00043,0.00136,313429.8277715023,-107612.94732999954
PTSG,-124.2552,41.7827,0.00144,0.00084,-0.02107,0.00024,0.00028,0.0009,82577.0682320569,153922.02572999996
TMB2,-121.3295,39.2156,-0.00411,0.00749,-0.02888,0.00042,0.0005,0.00159,338133.65101379366,-131847.2895599996
TRND,-124.1509,41.0539,0.00908,0.00783,-0.00787,0.00024,0.00029,0.00092,92264.44833800796,72792.08261000001
YBH2,-122.7107,41.7317,0.00448,-0.00094,-0.00106,0.00028,0.00034,0.00108,210951.59486145343,148244.71082999976
