id,lon,lat,E,N,Up
P327,-123.5731,40.4789,0.004975096281035039,0.004292730763384661,-0.0014360511297403877
P329,-123.452,40.0822,-0.0019606535453617693,0.00363274162313693,0.0007881254732515835
P330,-123.1356,40.3241,0.0010837416449126927,0.0022131050217410247,-0.0003073511300879145
P331,-123.3241,40.7329,0.004810618381965417,0.003448898028290325,-0.0016617268193390166
P332,-123.1745,40.5467,0.002947294058590136,0.002523507599477848,-0.0009833556195039692
P333,-122.9758,39.6214,-0.00196575900173971,0.00224522811229615,0.0008933189733216914
P334,-122.7359,39.4936,-0.0015391163913297467,0.0017551525778387188,0.0007247001671205238
P335,-122.8736,39.7262,-0.0015705132487843442,0.001960228502748563,0.0007121653360921824
P337,-122.8688,40.2962,0.0006772723646426271,0.0016622678555087925,-0.00019115159702745552
P338,-122.923,40.7476,0.0027777288642744664,0.002070676245002653,-0.0010164314849825523
P339,-122.6682,40.0341,-0.00039595624582156475,0.0014290554541437663,0.00021545592792210176
P341,-122.6069,40.6507,0.0016927085213970985,0.0014310348344889474,-0.000623853165782558
P343,-123.3342,40.8871,0.005020856407520842,0.003645843500661654,-0.0018271116781910864
P344,-122.028,39.9291,-0.0002392079279514364,0.0008572415047958809,0.00013790956909095597
P345,-122.2708,40.2712,0.00037681802624438184,0.000988158965796841,-0.00011146808089693663
P348,-121.828,40.9055,0.0010513451827142148,0.0008264738920514983,-0.00042115600525046077
P349,-122.3194,40.7311,0.0013888914014879563,0.001142554610327121,-0.0005304548697433452
P655,-122.2063,41.2945,0.001606612282506391,0.001180893456287232,-0.000671655896127271
P657,-122.2938,41.3812,0.0016918984958636154,0.0012611464810454733,-0.0007151507784292155
P658,-122.1909,41.4792,0.0015425683908497538,0.0011599780457710947,-0.0006612836178088929
P659,-122.0927,41.4537,0.0014549222188224111,0.0010844440247356956,-0.0006220091603236857
P660,-122.0677,41.4096,0.001440628873820699,0.0010669511227795227,-0.0006125696106943632
P663,-122.1529,41.5319,0.0014845923031248276,0.001122805979225116,-0.0006408514115003076
P664,-121.4959,40.4732,0.0004529961736547708,0.0006004000627755128,-0.00016818295673971635
P665,-121.5258,40.4561,0.0004449909934688975,0.0006096288243740999,-0.00016398748428662826
P666,-121.5145,40.4653,0.00045087339953605145,0.000606356271017712,-0.00016680754711345642
P667,-121.4674,40.4658,0.0004371074843869732,0.0005897062246875773,-0.0001619880968818509
P668,-121.4631,40.509,0.000477082530994137,0.0005922650771215104,-0.00017943696313333534
P669,-121.6038,40.4921,0.0005090262358774366,0.0006428483218247773,-0.00018956807373290675
P670,-121.5772,40.5399,0.0005491730783988765,0.0006379520393625575,-0.00020769634027078044
P671,-121.4282,40.4091,0.00037215149213945764,0.0005720466448685723,-0.00013476055681045432
P672,-121.5069,41.7116,0.0009854561261439252,0.0007383701462614634,-0.00043399207356724465
P673,-121.613,41.5858,0.0010627965987755443,0.0007893355831935542,-0.0004621814923000309
P674,-121.49,41.6163,0.000987916567809007,0.0007331359271418235,-0.0004310320290628974
P784,-122.4205,41.8308,0.0014933099572161093,0.0012180127078591407,-0.0006688429810081406
P786,-123.9808,41.8455,0.0019635305381483278,0.001513583488007379,-0.0007123495912065656
P793,-123.5731,40.4788,0.004973415344236554,0.0042923719582598375,-0.0014354840639783026
P794,-122.9638,39.8457,-0.001510182692442615,0.0020956854203291343,0.0006736956886464922
PLMO,-121.6046,39.4333,-0.0004945193545460692,0.0007005084755977339,0.000249653647585921
PTSG,-124.2552,41.7827,0.0020141710590594174,0.0011118438715036186,-0.0005390600457164843
TMB2,-121.3295,39.2156,-0.00046476354015949925,0.0006039344476875227,0.00023696339879504828
TRND,-124.1509,41.0539,0.008705583705711058,0.007888883908722244,-0.0031314088619660515
YBH2,-122.7107,41.7317,0.0018198729098418466,0.0015071240710411698,-0.0008068581414625581
