,lat,lon,depth,slip,rake,strike,dip,t_rup,t_ris,t_fal,mo
83,40.352615,-124.812912,10.0,197.35936,173.903793,96.0,90.0,8.592,3.0,1.5,4.81684e+24
84,40.34914,-124.769493,10.0,167.164246,200.432556,96.0,90.0,11.0704,4.5,4.5,4.07988e+24
85,40.345661,-124.726074,10.0,144.8479,209.489288,96.0,90.0,12.9488,3.0,3.0,3.53522e+24
86,40.342186,-124.682655,10.0,98.554657,209.786453,96.0,90.0,15.0272,1.5,1.5,2.40537e+24
87,40.338711,-124.639236,10.0,39.448383,203.899551,96.0,90.0,17.5056,1.5,1.5,9.62794e+23
88,40.335232,-124.595818,10.0,4.363443,185.992004,96.0,90.0,20.184,1.5,3.0,1.06496e+23
89,40.331757,-124.552406,10.0,0.849079,187.195862,96.0,90.0,22.2624,4.5,1.5,2.0723e+22
90,40.328278,-124.508987,10.0,0.125066,189.674911,96.0,90.0,23.740801,1.5,3.0,3.05242e+21
91,40.324802,-124.465569,10.0,0.51678,183.830109,96.0,90.0,24.419201,3.0,3.0,1.26127e+22
92,40.321327,-124.42215,10.0,0.743784,208.984131,96.0,90.0,24.497599,4.5,4.5,1.81531e+22
93,40.317848,-124.378731,10.0,7.58177,206.607986,96.0,90.0,24.576,4.5,3.0,1.85044e+23
94,40.314373,-124.335312,10.0,9.037628,203.888763,96.0,90.0,25.2544,3.0,3.0,2.20576e+23
95,40.310894,-124.291893,10.0,1.000435,183.061584,96.0,90.0,26.3328,4.5,3.0,2.4417e+22
96,40.390862,-125.290504,12.85,0.899314,186.486969,96.0,90.0,10.143354,4.5,3.0,4.27844e+22
97,40.387383,-125.247093,12.85,23.207951,187.770126,96.0,90.0,8.879389,1.5,1.5,1.10411e+24
98,40.383907,-125.203674,12.85,53.707954,173.698929,96.0,90.0,7.42248,3.0,1.5,2.55513e+24
99,40.380432,-125.160255,12.85,72.483345,170.384491,96.0,90.0,6.179367,4.5,3.0,3.44836e+24
100,40.376953,-125.116837,12.85,75.330414,172.757904,96.0,90.0,4.568954,4.5,4.5,3.58381e+24
101,40.373478,-125.073418,12.85,94.389366,170.154297,96.0,90.0,2.866887,4.5,3.0,4.49053e+24
102,40.369999,-125.029999,12.85,121.183113,182.204361,96.0,90.0,1.54,1.5,1.5,5.76523e+24
103,40.366524,-124.98658,12.85,143.329376,178.245041,96.0,90.0,1.866887,1.5,1.5,6.81883e+24
104,40.363045,-124.943161,12.85,172.299652,171.112961,96.0,90.0,3.168953,4.5,3.0,8.19708e+24
105,40.35957,-124.89975,12.85,203.620407,169.843384,96.0,90.0,4.779366,1.5,3.0,9.68715e+24
106,40.356094,-124.856331,12.85,203.503586,170.281052,96.0,90.0,6.42248,1.5,1.5,9.68159e+24
107,40.352615,-124.812912,12.85,163.890366,180.988983,96.0,90.0,8.879389,1.5,1.5,7.79701e+24
108,40.34914,-124.769493,12.85,137.88533,204.271561,96.0,90.0,11.743355,4.5,1.5,6.55983e+24
109,40.345661,-124.726074,12.85,96.920578,208.405853,96.0,90.0,14.211401,1.5,1.5,4.61095e+24
110,40.342186,-124.682655,12.85,37.644661,190.744308,96.0,90.0,16.682014,1.5,1.5,1.79093e+24
111,40.338711,-124.639236,12.85,6.700474,203.09935,96.0,90.0,19.554348,1.5,4.5,3.18772e+23
112,40.335232,-124.595818,12.85,2.957669,171.733261,96.0,90.0,22.227888,4.5,4.5,1.4071e+23
113,40.331757,-124.552406,12.85,0.611447,193.767319,96.0,90.0,24.10231,1.5,1.5,2.90893e+22
114,40.328278,-124.508987,12.85,2.366003,182.969635,96.0,90.0,25.177389,4.5,4.5,1.12561e+23
115,40.324802,-124.465569,12.85,2.718665,191.072647,96.0,90.0,25.652981,4.5,3.0,1.29339e+23
116,40.321327,-124.42215,12.85,0.185648,194.297028,96.0,90.0,25.728971,3.0,1.5,8.83214e+21
117,40.317848,-124.378731,12.85,2.936249,179.286621,96.0,90.0,25.405283,4.5,1.5,1.39691e+23
118,40.314373,-124.335312,12.85,4.426917,206.284714,96.0,90.0,25.681854,3.0,1.5,2.10609e+23
119,40.310894,-124.291893,12.85,1.519095,209.310715,96.0,90.0,26.558641,1.5,1.5,7.22703e+22
120,40.390862,-125.290504,15.7,4.053324,177.124771,96.0,90.0,11.558733,1.5,1.5,2.88344e+23
121,40.387383,-125.247093,15.7,0.596716,181.808258,96.0,90.0,10.335636,4.5,1.5,4.2449e+22
122,40.383907,-125.203674,15.7,7.96949,209.000381,96.0,90.0,8.737907,1.5,1.5,5.66931e+23
123,40.380432,-125.160255,15.7,22.852283,171.26297,96.0,90.0,7.386923,3.0,4.5,1.62566e+24
124,40.376953,-125.116837,15.7,22.140408,170.292664,96.0,90.0,5.733774,4.5,3.0,1.57502e+24
125,40.373478,-125.073418,15.7,25.34375,175.002762,96.0,90.0,4.317364,3.0,4.5,1.8029e+24
126,40.369999,-125.029999,15.7,40.542942,175.982529,96.0,90.0,3.28,1.5,1.5,2.88413e+24
